token	apariciones	ejemplos (Strong: definición)
miguel	2	G3413: Miguel. Michael, archangel || H4317: Miguel. Mikael, nombre de archangel y de nueve Israelitas
assist	2	G4943: Ayudándonos. Ser a co-auxiliary, es decir, assist || G4878: Ayude. Tomar sostener de opuesto junto, es decir, co-operate (assist)
downwards	2	G2736: Bajo. Downwards || H3381: Desciende. Descend (literalmente, a ir downwards; o conventionally a inferior región, como shore, límite, enemy, etc..; o figurativamente, a caer); causativamente, a traer abajo (en todo encima de aplicaciones)
endurance	2	G5281: Sufrir. Alegre (o hopeful) endurance, constancy || G4327: Recibe. Admitir (to relación, hospitality, crédito, o (figurativamente) endurance); por implicación, a esperar (con confianza o patience)
ninety	2	G1768: Noventa y nueve. Ninety-nueve || H8673: Noventa. Ninety
briefly	2	G5030: Pronto. Briefly, es decir, (en tiempo) speedily, o (en manera) rápidamente || G4935: Brevemente. Concisely (briefly)
campaign	2	G4754: Peleó. Serve en militar campaign; figurativamente, a execute apostolate (con su arduous duties y functions), a contend con carnal inclinations || H6635: Guerra. Masa de personas (o figurativamente, cosas), especialmente reg. organized forwar (ejército); por implicación, campaign, literal o figurativamente (específicamente, dificultad, adoración)
consummate	2	G658: Siendo cumplido. Completar enteramente, es decir, consummate || G5048: Acabe. Completar, es decir, (literalmente) cumplir, o (figurativamente) consummate (en carácter)
seizure	2	G2897: Glotonería. Propiamente, headache (como seizure de dolor) de drunkenness, es decir, (por implicación) debauch (por analogía, glut) || H4916: Obra. Sending fuera, es decir, (en abstracto) presentation (favorable), o seizure (unfavorable); también (en concreto) lugar de dismissal, o business a ser discharged
concession	2	G4774: Permisión. Compañero knowledge, es decir, concession || G3303: Parte. Propiamente, indicative de affirmation o concession (en fact); habitualmente followed por contrasted clause con G1161 (δέ) (este uno, former, etc..)
vindicate	2	G1556: Vengas. Vindicate, retaliate, castigar || H8199: Juzgue. Juzgar, es decir, pronounce sentencia (para o contra); por implicación, a vindicate o castigar; por extenssion, a govern; pasivamente, a litigate (literal o figurativamente)
gratify	2	G3685: Góceme. Para el cual otro prolonged forma () es usado como alternativo en alguno tenses (unless en efecto ello ser identical con base de G3686 (ὄνομα) mediante la idea de notoriety); a gratify, es decir, (medio voz) a derive pleasu… || G2100: Agradar. Gratify enteramente
saved	2	G2225: Salvará. Engender alive, es decir, (por analogía) a librar (pasivamente, ser saved) de muerte || H3444: Salud. Algo saved, es decir, (en abstracto) liberación; de aquí, ayuda, victory, prosperidad
allowance	2	G4620: Ración. Grano-medida, es decir, (por implicación) ration (allowance de comida) || H548: Fiel. Algo fijo, es decir, covenant. allowance
terminate	2	G2005: Cabo. Fulfill además (o completamente), es decir, execute; por implicación, a terminate, undergo || H5486: Cesará. Snatch lejos, es decir, terminate
exasperated	2	G2371: Enojado. Ser en furious fight, es decir, (figurativamente) a ser exasperated || G3710: Airaos. Provoke o enrage, es decir, (pasivamente) llegar ser exasperated
sedition	2	G5016: Alborotos. Disturbance, es decir, (de agua) roiling, o (de mob) sedition || G4787: Conmovieron. Mover junto, es decir, (especialmente), a excite como masa (to sedition)
chosen	2	G830: Grado. Sí mismo-chosen, es decir, (por implicación) voluntario || G4899: Juntamente elegida. Chosen en compañía con, es decir, co-elect (compañero Cristiano)
sweat	2	G4676: Sudario. Sudarium (sweat-tela), es decir, towel (para wiping perspiration de rostro, o binding rostro de corpse) || H3154: Para sudar. Sweat, es decir, (por implicación) sweating vestir
condemned	2	G5267: Bajo sentencia, es decir, (por implicación) condemned || G843: Condenado. Sí mismo-condemned
manifest	2	G2612: Manifiesto. Manifest || H5046: Declaró. Propiamente, a frente, es decir, estar en pie boldly fuera opuesto; por implicación (causativamente), a manifest; figurativamente, a anunciar (siempre por palabra de boca a uno presente); específicamente, a exponer, predict, explain, alabanza
ware	2	G3626: Tengan cuidado. Ser "ware"); stayer en hogar, es decir, domestically inclined (a "bueno housekeeper") || G3749: Barro. Earthen-ware, es decir, clayey; por implicación, frail
remembrance	2	G3419: Sepulcro. Remembrance, es decir, cenotaph (lugar de interment) || H234: En memoria. Reminder; específicamente remembrance-ofrenda
bale	2	G501: Sacar. Bale arriba (propiamente, bilge agua), es decir, dip agua (con bucket, pitcher, etc..) || H7579: Sacó. Bale arriba agua
incredible	2	G571: Infiel. (activamente) disbelieving, es decir, sin Cristiano faith (especialmente, heathen); (pasivamente) untrustworthy (persona), o incredible (cosa) || G3026: Twaddle, es decir, incredible relato
grinder	2	G3458: Muela. A "mill", es decir, (por implicación), grinder (millstone) || H4459: Muelas. Grinder, es decir, atrás diente
disseminate	2	G1268: Se divulgue. Distribute, es decir, (de information) a disseminate || H2232: Da. Sow; figurativamente, a disseminate, planta, fructify
specified	2	G1170: Cierto. Así y así (cuando persona es no specified) || H6423: Fulano. Tal uno, es decir, specified persona
instance	2	G5179: Señal. Morir (como struck), es decir, (por implicación) stamp o scar; por analogía, forma, es decir, statue, (figurativamente) style o semejanza; especialmente, sampler ("type"), es decir, model (para imitation) o instance (para warning) || H4489: Tiempo. Propiamente, algo weighed fuera, es decir, (figurativamente) porción de tiempo, es decir, instance
unwilling	2	G210: Fuerza. Unwilling || H3986: No quisieres. Unwilling
designation	2	G1207: Segundo del primero. Segundo-primero, es decir, (especialmente) designation de Sabbath immediately después de Paschal week (siendo segundo después de Passover día, y primero de siete Sabbaths intervening delante de Pentecost) || H326: Ahastari. Achastarite (es decir, courier); designation (más bien que nombre) de un israelita
pentecost	2	G1207: Segundo del primero. Segundo-primero, es decir, (especialmente) designation de Sabbath immediately después de Paschal week (siendo segundo después de Passover día, y primero de siete Sabbaths intervening delante de Pentecost) || G4005: Pentecostés. Fiftieth (G2250 (ἡμέρα) siendo implícito) de Passover, es decir, fiesta de "Pentecost"
publish	2	G1804: Anunciéis. Publish, es decir, celebrar || G1255: Hablaban. Hablar throughout compañía, es decir, converse o (genitivo caso) publish
apostles	2	G993: Hijos de commotion; Boanerges, epíteto de dos de apostles || G2280: Tadeo. Thaddæus, uno de Apostles
beryl	2	G969: Berilo. A "beryl" || H7718: Onix. Gema, probablemente beryl (de su pale verde color)
yard	2	G833: Sala. Yard (como abierto a viento); por implicación, mansion || H2691: Atrio. Yard (como inclosed por fence); también hamlet (como similarly surrounded con walls)
perpetually	2	G1336: Siempre. Carried través de, es decir, (adverbialmente con G1519 (εἰς) y G3588 (ὁ) prefixed) perpetually || H6783: Para siempre. Excision, es decir, destrucción; usado solo (adverbialmente) con preposicional prefijo a extinction, es decir, perpetually
harm	2	G2865: Trajo. Propiamente, a provide para, es decir, (por implicación) a llevar fuera (como si de harm; genitivo caso obtain) || H2257: Daño. Harm (personal o pecuniary)
obtain	2	G2865: Trajo. Propiamente, a provide para, es decir, (por implicación) a llevar fuera (como si de harm; genitivo caso obtain) || H8551: Asió. Sustain; por implicación, a obtain, guardar rápido; figurativamente, a ayuda, seguir cerrar
arid	2	G3584: Seco. Arid; por implicación, shrunken, tierra (como opposed a agua) || H2788: Arid
emporium	2	G1712: Mercado. Mart ("emporium") || H5505: Mercadería. Emporium; en abstracto, profit (de comercio)
educate	2	G3811: Castiga. Train arriba niño, es decir, educate, o (por implicación), discipline (por castigo) || G1789: Criado. (figurativamente) a educate
express	2	G2168: Gracias. Ser grateful, es decir, (activamente) a express gratitude (hacia); especialmente, a decir grace en comida || G1269: Asentir (o express por signs) a través de intervening espacio
frontier	2	G3181: Términos. Bounded junto a, es decir, contiguous (neutro plural como sustantivo, frontier) || G3725: Términos. Límite-línea, es decir, (por implicación) frontier (región)
onyx	2	G4557: Sardónica. De aquí "onyx" piedra); a "sardonyx", es decir, gema así llamado || H3095: Diamante. Precious piedra, probablemente onyx
instructive	2	G1317: Apto para enseñar. Instructive ("didactic") || H4905: Instructive, es decir, didactic poema
didactic	2	G1317: Apto para enseñar. Instructive ("didactic") || H4905: Instructive, es decir, didactic poema
hearken	2	G1873: Oír. Hearken (favorably) a || H7181: Escucha. Prick arriba oídos, es decir, hearken
sagacious	2	G5429: Sabios. Thoughtful, es decir, sagacious o discreet (implying cautious carácter; mientras G4680 (σοφός) denota practical skill o acumen; y G4908 (συνετός) indicates más bien inteligencia o mental acquirement); en malo sentido co… || G4908: Prudente. Mentalmente poner (o putting) junto, es decir, sagacious
discreet	2	G5429: Sabios. Thoughtful, es decir, sagacious o discreet (implying cautious carácter; mientras G4680 (σοφός) denota practical skill o acumen; y G4908 (συνετός) indicates más bien inteligencia o mental acquirement); en malo sentido co… || G3525: Vela. Abstenerse de vino (guardar sober), es decir, (figurativamente) ser discreet
cautious	2	G5429: Sabios. Thoughtful, es decir, sagacious o discreet (implying cautious carácter; mientras G4680 (σοφός) denota practical skill o acumen; y G4908 (συνετός) indicates más bien inteligencia o mental acquirement); en malo sentido co… || G4337: Mirad. (figurativamente) a sostener mente (3563 implícito) hacia, es decir, pagar atención to, ser cautious acerca de, apply uno mismo to, adherirse a
halt	2	G5560: Cojo. "halt", es decir, limping || G2647: Derribar. Loosen abajo (disintegrate), es decir, (por implicación) a demolish (literal o figurativamente); especialmente (compárese G2646 (κατάλυμα)) a halt para noche
limping	2	G5560: Cojo. "halt", es decir, limping || H6761: Claudicar. Limping o lleno (figurativamente)
lifted	2	G685: Maldecir. Propiamente, oración (como lifted a Heaven), es decir, (por implicación) imprecation || H5940: Granos de trigo á pisón. Pestle (como lifted)
shameful	2	G149: Deshonesta. Shameful cosa, es decir, indecorum || G150: Shameful, es decir, base (especialmente, venal)
eject	2	G1544: Saca. Eject (literal o figurativamente) || H5394: Quita. Arrancar fuera, es decir, divest, eject o gota
grudge	2	G1758: Apretar. Sostener en o sobre, es decir, ensnare; por implicación, a guardar grudge || H5358: Haré. Grudge, es decir, avenge o castigar
cheerfully	2	G2114: Alegre. Cheer arriba, es decir, (intransitivamente) ser alegre; neutro comparativo (adverbialmente) más cheerfully || H4574: Deleite. Delicacy o (en abstracto) placer (adverbialmente, cheerfully)
doom	2	G2672: Maldecir. Execrate; por analogía, a doom || H8546: Muerte. Execution (como doom)
commencement	2	G746: Principio. (propiamente abstracto) commencement, o (en concreto) jefe (en varias aplicaciones de orden, tiempo, lugar, o rango) || H8462: Principio. Commencement; rel. original (adverbio, -ly)
anxiously	2	G4305: Premeditéis. Cuidado (anxiously) en avance || H926: Se turbarán. Tremble inwardly (o palpitate), es decir, (figurativamente) ser (causativo, hacer) (suddenly) alarmed o agitated; por implicación a apresurar anxiously
impure	2	G169: Sucias. Impure (ceremonialmente, moralmente (lewd) o especialmente, (demoníaco)) || H2933: Somos viles. Ser impure en religiosa sentido
erase	2	G1813: Borraré. Smear fuera, es decir, obliterate (erase tears, figurativamente, pardon sin) || H4229: Todo. Propiamente, a stroke o frotar; por implicación, a erase; también a liso (como si con aceite), es decir, grease o hacer grasa; también a tocar, es decir, alcanzar a
frog	2	G944: Ranas. Frog || H6854: Ranas. Marsh-leaper, es decir, frog
transference	2	G616: Engendra. Breed adelante, es decir, (por transference) a generate (figurativamente) || H6670: Grita. Gleam, es decir, (figurativamente) ser alegre; por transference a sonido claro (de varios animal o humano expressions)
spurn	2	G1609: Menospreciasteis. Spit fuera, es decir, (figurativamente) spurn || H3988: Desechó. Spurn; también (intransitivamente) a desaparecer
cultivated	2	G2565: Buena. Cultivated olive árbol, es decir, domesticated o improved uno || H7709: Campos. Cultivated campo
offshoot	2	G5443: Tribu. Offshoot, es decir, raza o clan || H5189: Ramas. Tendril (como offshoot)
arena	2	G285: Arena. Sand (como heaped en beach) || H2344: Arena. Sand (como redondo o whirling partículos)
unable	2	G102: Flacos. Unable, es decir, débil (literal o figurativamente); pasivamente, impossible || G101: Es imposible. Ser unable, es decir, (pasivamente) impossible
impossible	2	G102: Flacos. Unable, es decir, débil (literal o figurativamente); pasivamente, impossible || G101: Es imposible. Ser unable, es decir, (pasivamente) impossible
bloodshed	2	G129: Sangre. Sangre, literalmente (de hombres o animales), figurativamente (jugo de uvas) o especialmente (atoning sangre de Cristo); por implicación, bloodshed, también kindred || H1818: Sangre. Sangre (como que el cual cuando shed causes muerte) de hombre o animal; por analogía, jugo de uva; figurativamente (especialmente en plural) bloodshed (es decir, drops de sangre)
conclude	2	G5055: Paga. Fin, es decir, completar, execute, conclude, discharge (deuda) || G611: Respondió. Conclude para uno mismo, es decir, (por implicación) a respond; por hebraísmo (compárese H06030) a comenzar a hablar (donde dirigirse es expected)
lunch	2	G4711: Espuerta. Hamper o lunch-recipiente || H6718: Caza. Chase; también game (así tomado); (en general) lunch (especialmente para viaje)
venomous	2	G3644: Destructor. Ruiner, es decir, (especialmente), venomous serpiente || H660: Víbora. Asp o otro venomous serpiente
tunic	2	G5509: Sayo. Tunic o shirt || H6446: Colores. Largo y sleeved tunic (quizá simplemente amplio uno; de original sentido de raíz, es decir, de muchos breadths)
raven	2	G2896: Clamó. Propiamente, a "croak" (como raven) o scream, es decir, (genitivo caso) a llamar en voz alta (shriek, exclaim, intreat) || H6158: Cuervo. Raven (de su dusky hue)
progenitor	2	G3966: Progenitor ("patriarca") || G2384: Jacob (es decir, Ja`akob), progenitor de Israelitas
aroma	2	G2368: Olores. Aroma, es decir, fragrant powder burnt en religiosa servicio; por implicación, ardiente sí mismo || H5561: Aroma
upbraid	2	G1969: Reprendas. Chastise, es decir, (con palabras) a upbraid || H8156: Hendida. Dividir o rasgar; figurativamente, a upbraid
oppressive	2	G1419: Difíciles de llevar. Oppressive || H6216: Oppressive (como sustantivo, tyrant)
bequeath	2	G5277: Dejar detrás, es decir, bequeath || H5157: Poseerán. Inherit (como a (figurativo) modo de descenso), o (en general) a ocupar; causativamente, a bequeath, o (en general) distribute, instate
officiate	2	G2418: Ministrando. Ser templo-trabajador, es decir, officiate como sacerdote (figurativamente) || H3547: En el sacerdocio. Officiate como sacerdote; figurativamente, a poner en regalia
rinse	2	G637: Lavaban. Rinse fuera || H4838: Limpiad. Polish; por implicación, a sharpen; también a rinse
orchard	2	G1638: Olivar. Olive-orchard, es decir, (especialmente) Monte de Olives || H3759: Trigo. Planted campo (huerto, orchard, vineyard o park); por implicación, huerto producir
olives	2	G1638: Olivar. Olive-orchard, es decir, (especialmente) Monte de Olives || H5363: Como cuando sacuden. Threshing (de olives)
bending	2	G3591: Peso. Masa (como bending o bulging por su carga), es decir, carga (hindrance) || H1869: Pisó. Pisar; por implicación, a andar; también a cuerda abow (por treading en ello en bending)
efficient	2	G1414: Es poderoso. Ser efficient (figurativamente) || G1754: Hacer. Ser activo, efficient
heavens	2	G5310: Alturas. Highest, es decir, (masculino singular) Supremo (Dios), o (neutro plural) heavens || H5906: Arcturo. Constellation de Grande Llevar (quizá de su migration través de heavens)
instigate	2	G4264: Sacaron. Fuerza adelante, es decir, traer a frente, instigate || G868: Llevó. Quitar, es decir, (activamente) instigate a revolt; habitualmente (reflexivamente) a desistir, desierto, etc..
edged	2	G1366: Dos filos. Doble-edged || H7915: Cuchillo. Knife (como puntiagudo o edged)
humility	2	G4240: Mansedumbre. Mildness, es decir, (por implicación) humility || G4236: Mansedumbre. Gentleness, por implicación, humility
strung	2	G2159: Con gran porfía. En bien-strung manera, es decir, (figurativamente) intensamente (en bueno sentido, cogently; en malo uno, fiercely) || H2737: Entre los collares. Propiamente, pierced, es decir, bead de perla, gems o jewels (como strung)
fiercely	2	G2159: Con gran porfía. En bien-strung manera, es decir, (figurativamente) intensamente (en bueno sentido, cogently; en malo uno, fiercely) || G1264: Contendían. Fight fiercely (en altercation)
stupefaction	2	G2285: Temor. Stupefaction (por surprise), es decir, astonishment || H8078: Con espanto. Stupefaction
locks	2	G2864: Cabello. Cabello de cabeza (locks, como ornamental, y así diferente de G2359 (θρίξ); el cual propiamente denota merely scalp) || H5145: Corona. Propiamente, algo poner aparte, es decir, (en abstracto) dedication (de priet o Nazirite); de aquí (en concreto) unshorn locks; también (por implicación) chaplet (especialmente de royalty)
explore	2	G1830: Diligentemente buscado. Explore (figurativamente) || H2658: Abrir. Propiamente, a pry hacia; por implicación, a delve, a explore
fifty	2	G4004: Cincuenta. Fifty || H2572: Cincuenta. Fifty
brink	2	G3790: Cumbre. Ojo-"brow" o forehead, es decir, (figurativamente) brink de precipice || H1428: Riberas. Río brink
stubble	2	G2562: Hojarasca. Stalk de grano, es decir, (colectivamente) stubble || H7197: Coger. Forage para straw, stubble o madera; figurativamente, a reunir
generous	2	G2104: Noble. Bien nacido, es decir, (literalmente) alto en rango, o (figurativamente) generous || H5081: Liberal. Propiamente, voluntario, es decir, generous; de aquí, magnanimous; como sustantivo, grandee (veces tyrant)
adder	2	G2191: Víbora. Adder o otro poisonous snake (literal o figurativamente) || H8207: Clase de serpiente (como snapping), probablemente cerastes o horned adder
sinai	2	G4614: Sina (es decir, Sinai), monte en Arabia || H5514: Sinaí. Sinai, monte de Arabia
accepted	2	G1735: Es posible. (impersonalmente) ello es accepted en, es decir, admitted (possible) || G587: Agradable. Accepted, es decir, agreeable
abroad	2	G1232: Hicieron notorio. Tell abroad || G589: Partió. Ir abroad, es decir, visit extranjero tierra
innumerable	2	G382: Innumerable. Unnumbered, es decir, sin número || H4557: Número. Número, definite (arithmetical) o indefinido (grande, innumerable; pequeño, few); también (en abstracto) narration
shrub	2	G5451: Planta. Trans-planting, es decir, (en concreto) shrub o vegetal || G942: Zarza. Brier shrub
ignore	2	G50: IGNORÁIS. No a conocer (través de lack de information o inteligencia); por implicación, a ignore (través de disinclination) || H5234: Conoció. Propiamente, a scrutinize, es decir, mirar intently en; de aquí (con recognition implícito), a acknowledge, ser acquainted con, cuidado para, respeto, revere, o (con suspicion implícito), a disregard, ignore, ser strange hacia, re…
coiling	2	G288: Vid. Vid (como coiling acerca de sostener) || G785: Áspides. Buckler (o redondo shield); usado de serpiente (como coiling sí mismo), probablemente "asp"
shoe	2	G5266: Zapato. Algo atado bajo pies, es decir, shoe o sandal || H5431: Quien pelea. Shoe, es decir, (activo participio) soldier shod
purify	2	G37: Santificó. Hacer holy, es decir, (ceremonialmente) purify o consecrate; (mentalmente) a venerate || H1252: Por la limpieza. Purify
paradise	2	G3857: Paraíso. Park, es decir, (especialmente), Eden (lugar de futuro happiness, "paradise") || H1521: Gihón. Gichon, río de Paradise; también valle (o pool) cerca Jerusalén
trifler	2	G4691: Palabrero. Semilla-picker (como crow), es decir, (figurativamente) sponger, loafer (especialmente, gossip o trifler en hablar) || G5396: Parlando. Ser babbler o trifler, es decir, (por implicación) a berate idly o mischievously
majestic	2	G3169: Magnífica. Befitting grandeza o magnificence (majestic) || H1342: Crece. Monte arriba; de aquí, en general, a levantarse, (figurativamente) ser majestic
solidify	2	G4732: Ha confirmado. Solidify, es decir, confirm (literal o figurativamente) || H6339: Que saltaba. Solidify (como si por refining); también a manantial (como si separating limbs)
expected	2	G611: Respondió. Conclude para uno mismo, es decir, (por implicación) a respond; por hebraísmo (compárese H06030) a comenzar a hablar (donde dirigirse es expected) || H4007: Esperanza. Algo expected, es decir, (en abstracto) expectación
immerse	2	G907: Bautizo. Immerse, submerge; a hacer whelmed (es decir, por completo wet); usado solo (en Nuevo Testament) de ceremonial ablution, especialmente (técnicamente) de ordinance de Cristiano baptism || H2881: Mojará. Dip, a immerse
astounded	2	G1569: Atónitos. Del todo astounded || G1839: Está fuera. Poner (estar en pie) fuera de wits, es decir, astound, o (reflexivamente) llegar ser astounded, insane
naught	2	G4487: Mal. Declaración (individually, colectivamente o especialmente),; por implicación, asunto o tema (especialmente de narration, command o disputa); con negativo naught cualquiera || H1951: Os apercibisteis. Propiamente, a ser naught, es decir, (figurativamente) a ser (causativamente, acto) luz
generations	2	G1075: Cuya genealogía. Reckon por generations, es decir, trace en genealogy || G1076: Genealogías. Tracing por generations, es decir, "genealogy"
genealogy	2	G1075: Cuya genealogía. Reckon por generations, es decir, trace en genealogy || G1076: Genealogías. Tracing por generations, es decir, "genealogy"
manna	2	G3131: Maná. Manna (es decir, hombre), edible goma || H4478: Qué. Literalmente whatness (así a hablar), es decir, manna (así llamado de question acerca de ello)
discharged	2	G1607: Sale. Partir, ser discharged, proceed, project || H4916: Obra. Sending fuera, es decir, (en abstracto) presentation (favorable), o seizure (unfavorable); también (en concreto) lugar de dismissal, o business a ser discharged
proceed	2	G1607: Sale. Partir, ser discharged, proceed, project || H5090: Trajo. Empujar adelante (persona, animal o carro), es decir, llevar, llevar lejos; reflexivamente, a proceed (es decir, impel o guide uno mismo); también (de panting induced por esfuerzo), a suspirar
eva	2	G2096: Eua (o Eva, es decir, Chavvah), primero mujer || H2332: Eva. Chavvah (o Eve), primero mujer
deceit	2	G5272: Hipocresía. Acting bajo feigned parte, es decir, (figurativamente) deceit ("hypocrisy") || H5231: Ardides. Deceit
hypocrisy	2	G5272: Hipocresía. Acting bajo feigned parte, es decir, (figurativamente) deceit ("hypocrisy") || H3585: Mentira. Literalmente failure de carne, es decir, emaciation; figurativamente, hypocrisy
cain	2	G2535: Caín. Cain, (es decir, Cajin), hijo de Adam || H5113: Asentir, tierra de Cain
propound	2	G394: Declaró. Poner adelante (para uno mismo), i.e propound || H2330: Propiamente, a atar knot, es decir, (figurativamente) a propound riddle
shown	2	G1164: Por ejemplo. Specimen (como shown) || H7522: Acepto. Deleite (especialmente como shown)
racer	2	G2139: Que nos rodea. Bien de pie alrededor, es decir, (competitor) thwarting (racer) en cada dirección (figurativamente, de sin en genitivo caso) || H2223: Ceñido. Propiamente, tightly girt, es decir, probablemente racer, o alguno fleet animal (como siendo slender en waist)
discernment	2	G144: Juicio. Percepción, es decir, (figurativamente) discernment || G1922: Ciencia. Recognition, es decir, (por implicación) lleno discernment, acknowledgement
diminish	2	G1641: Tuvo menos. Diminish, es decir, caer corto || H6994: Poco. Diminish, es decir, ser (causativamente, hacer) diminutive o (figurativamente) de no cuenta
reptile	2	G2062: Reptiles. Reptile, es decir, (por hebraísmo (compárese H07431)) pequeño animal || H7431: Reptile o cualquier otro rápidamente moving animal
steer	2	G2116: Gobierna. Straighten (nivel); técnicamente, a steer || H5695: Becerro. A (masculino) calf (como frisking redondo), especialmente uno nearly grown (es decir, steer)
initiate	2	G3453: Estoy enseñado. Initiate, es decir, (por implicación) a teach || H2596: Instruye. Propiamente, a estrecho; figurativamente, a initiate o discipline
lodge	2	G3921: Han entrado. Asentar en junto a, es decir, lodge stealthily || H956: Acostóse. Lodge sobre noche
stealthily	2	G3921: Han entrado. Asentar en junto a, es decir, lodge stealthily || G5260: Sobornaron. Arrojar en stealthily, es decir, introduce por collusion
recital	2	G3417: Memoria. Recollection; por implicación, recital || G1335: En orden la historia. Recital
apartment	2	G5253: Sala. Higher parte de casa, es decir, apartment en tercero relato || H2315: Cámara. Apartment (habitualmente literal)
sack	2	G4526: Saco. "sack"-tela, es decir, mohair (material o garments hecho de ello, worn como sign de aflicción) || H6861: Nuevo en su espiga. Sack (como atado en boca)
try	2	G2919: Juzgo. Por implicación, a try, condemn, castigar || H977: Escogí. Propiamente, a try, es decir, (por implicación) escoger
condemn	2	G2919: Juzgo. Por implicación, a try, condemn, castigar || H2398: Pecó. Propiamente, a miss; de aquí (figurativamente y en general) a sin; por inference, a forfeit, lack, expiate, repent, (causativamente) llevar astray, condemn
guests	2	G5382: Hospedaos. Aficionado de guests, es decir, hospitable || G4849: Drinking-grupo ("symposium"), es decir, (por extensión) aposento de guests
burnished	2	G5474: Latón. Burnished cobre, alloy de cobre (o oro) y plata teniendo brilliant lustre || H6731: Renuevos. Propiamente, glistening, es decir, burnished plate; también flower (como brillante-coloreado); ala (como gleaming en aire)
alloy	2	G5474: Latón. Burnished cobre, alloy de cobre (o oro) y plata teniendo brilliant lustre || H913: Estaño. Alloy (porque removed por smelting); por analogía, tin
maimed	2	G2948: Cojo. Rocking acerca de, es decir, crippled (maimed, en pies o manos) || H5223: Lisiado. Smitten, es decir, (literalmente) maimed, o (figurativamente) dejected
afterwards	2	G3340: Arrepentirse. Pensar differently o afterwards, es decir, reconsider (moralmente, sentir compunction) || G3338: Arrepentirse. Cuidado afterwards, es decir, regret
frightful	2	G5398: Terrible. Frightful, es decir, (en sentido objetivo) formidable || H366: Imponente. Frightful
formidable	2	G5398: Terrible. Frightful, es decir, (en sentido objetivo) formidable || H1763: Temían. Slink, es decir, (por implicación) a temor, o (causativamente) ser formidable
toll	2	G5411: Tributo. Carga (como borne), es decir, (figurativamente) impuesto (propiamente, individuo assessment en personas o propiedad; mientras que G5056 (τέλος) es habitualmente general toll en goods o viajar) || H1983: Rentas. Propiamente, viaje, es decir, (por implicación) toll en goods en aroad
talkative	2	G5378: Filólogo. Aficionado de palabras, es decir, talkative (argumentative, learned, "philological"); Philologus, Cristiano || G2637: Murmuradores. Talkative contra, es decir, slanderer
reconcile	2	G2132: Ser bien- minded, es decir, reconcile || G604: Reconciliar. Reconcile por completo
cloudiness	2	G3507: Nube. Propiamente, cloudiness, es decir, (en concreto) nube || H6053: Cloudiness
busy	2	G390: Volveré. Overturn; también a volver; por implicación, a busy uno mismo, es decir, permanecer, vivir || G4231: Negociad. Busy uno mismo con, es decir, a comercio
secondary	2	G1206: Segundo. Secondary, es decir, (especialmente) en segundo día || H5927: Sube. Ascender, intransitivamente (ser alto) o activamente (monte); usado en grande variedad de sentidos, primary y secondary, literal y figurativo
excessively	2	G5234: Sin medida. Excessively || G1171: En gran. Terribly, es decir, excessively
tranquillity	2	G1055: Bonanza. Tranquillity || H8253: Reposo. Tranquillity
hospitably	2	G4863: Recoge. Llevar junto, es decir, recoger o convene; especialmente, a entertain (hospitably) || G5264: Recibió. Admitir bajo propio techo, es decir, entertain hospitably
starting	2	G874: Ocasión. Starting-punto, es decir, (figurativamente) opportunity || H7725: Volvió. Volver atrás (de aquí, lejos) transitivamente o intransitivamente, literal o figurativamente (no necessarily con idea de volver a starting punto); en general a retirada; menudo adverbial, de nuevo
exalt	2	G4888: Seamos glorificados. Exalt a dignidad en compañía (es decir, similarly) con || H5549: Calzada. Montículo arriba (especialmente turnpike); figurativo, a exalt; reflexivamente, a oppose (como por dam)
plating	2	G5553: Oro. Golden artículo, es decir, oro plating, adorno, o moneda || H642: Girding en (de ephod); de aquí, en general, plating (de metal)
incest	2	G4202: Fornicación. Harlotry (incluido adulterio y incest); figurativamente, idolatría || H5079: Menstruo. Propiamente, rejection; por implicación, impurity, especialmente personal (menstruation) o moral (idolatría, incest)
plank	2	G4548: Tablas. Plank || H7175: Tabla. Slab o plank; por implicación, deck de aship
outlet	2	G1337: Dos aguas. Teniendo dos seas, es decir, sonido con doble outlet || G1327: Salidas. Outlet través de, es decir, probablemente abierto square (de el cual roads diverge)
badness	2	G2549: Mal. Badness, es decir, (en sentido subjetivo) depravity, o (activamente) malignity, o (pasivamente) aflicción || H7455: Malos. Badness (como marring), físicamente o moralmente
lobo	2	G3074: Lobo. Wolf || H2061: Lobo. Wolf
wolf	2	G3074: Lobo. Wolf || H2061: Lobo. Wolf
counter	2	G5132: Mesa. Table o stool (como siendo cuatro-legged), habitualmente para comida (figurativamente, comida); también counter para dinero (figurativamente, broker's oficio para loans en interés) || G5586: Piedra. Pebble (como worn liso por handling), es decir, (por implicación, de uso como counter o ballot) verdict (de acquittal) o ticket (de admission); vote
port	2	G2747: Cencreas. Cenchreæ, port de Corinth || H8659: Tarsis. Tarshish, lugar en Mediterráneo, de aquí, ephithet de merchant vasija (como si para o de que port); también nombre de Persian y de un israelita
slightly	2	G5530: Usa. Proveer qué es needed; (dar oracle, "graze" (tocar slightly), luz sobre, etc..), es decir, (por implicación) a employ o (por extensión) a acto hacia uno en dado manera || G3357: Poco. Moderately, es decir, slightly
samuel	2	G4545: Samuel (es decir, Shemuel), un israelita || H8050: Samuel. Shemuel, nombre de tres Israelitas
